El(ft),Storage(acre-feet),Area(acres)
190,0,0
190.1,0.09,0.12
190.2,0.18,0.23
190.3,0.27,0.35
190.4,0.37,0.47
190.5,0.46,0.58
190.6,0.55,0.7
190.7,0.64,0.82
190.8,0.73,0.93
190.9,0.82,1.05
191,0.91,1.17
191.1,1,1.29
191.2,1.1,1.4
191.3,1.19,1.52
191.4,1.28,1.64
191.5,1.37,1.75
191.6,1.46,1.87
191.7,1.55,1.99
191.8,1.64,2.1
191.9,1.74,2.22
192,1.83,2.34
192.1,1.92,2.45
192.2,2.01,2.57
192.3,2.1,2.69
192.4,2.19,2.8
192.5,2.28,2.92
192.6,2.37,3.04
192.7,2.47,3.15
192.8,2.56,3.27
192.9,2.65,3.39
193,2.74,3.51
193.1,2.83,3.62
193.2,2.92,3.74
193.3,3.01,3.86
193.4,3.11,3.97
193.5,3.2,4.09
193.6,3.29,4.21
193.7,3.38,4.32
193.8,3.47,4.44
193.9,3.56,4.56
194,3.65,4.67
194.1,3.74,4.79
194.2,3.84,4.91
194.3,3.93,5.02
194.4,4.02,5.14
194.5,4.11,5.26
194.6,4.2,5.37
194.7,4.29,5.49
194.8,4.38,5.61
194.9,4.47,5.73
195,4.57,5.84
195.1,4.66,5.96
195.2,4.75,6.08
195.3,4.84,6.19
195.4,4.93,6.31
195.5,5.02,6.43
195.6,5.11,6.54
195.7,5.21,6.66
195.8,5.3,6.78
195.9,5.39,6.89
196,5.48,7.01
196.1,5.57,7.13
196.2,5.66,7.24
196.3,5.75,7.36
196.4,5.84,7.48
196.5,5.94,7.59
196.6,6.03,7.71
196.7,6.12,7.83
196.8,6.21,7.95
196.9,6.3,8.06
197,6.39,8.18
197.1,6.48,8.3
197.2,6.58,8.41
197.3,6.67,8.53
197.4,6.76,8.65
197.5,6.85,8.76
197.6,6.94,8.88
197.7,7.03,9
197.8,7.12,9.11
197.9,7.21,9.23
198,7.31,9.35
198.1,7.4,9.46
198.2,7.49,9.58
198.3,7.58,9.7
198.4,7.67,9.81
198.5,7.76,9.93
198.6,7.85,10.05
198.7,7.95,10.16
198.8,8.04,10.28
198.9,8.13,10.4
199,8.22,10.52
199.1,8.31,10.63
199.2,8.4,10.75
199.3,8.49,10.87
199.4,8.58,10.98
199.5,8.68,11.1
199.6,8.77,11.22
199.7,8.86,11.33
199.8,8.95,11.45
199.9,9.04,11.57
200,9.13,11.68
200.1,9.22,11.8
200.2,9.32,11.92
200.3,9.41,12.03
200.4,9.5,12.15
200.5,9.59,12.27
200.6,9.68,12.38
200.7,9.77,12.5
200.8,9.86,12.62
200.9,9.95,12.74
201,10.05,12.85
201.1,10.14,12.97
201.2,10.23,13.09
201.3,10.32,13.2
201.4,10.41,13.32
201.5,10.5,13.44
201.6,10.59,13.55
